method,k,runs,mean_score,std_score,mean_cost_usd,total_cost_usd,mean_api_calls,mean_prompt_tokens,mean_completion_tokens
cot,1,20,8.027,0.1035,0.007261,0.145225,11.0,4917.5,10872.75
cot,3,20,8.046,0.1058,0.00727,0.145398,11.0,4907.85,10889.5
cot,5,140,8.1249,0.614,0.008814,1.234021,11.0,5177.414285714286,11751.207142857143
cot,10,20,8.041,0.1602,0.00729,0.145794,11.0,4953.4,10911.15
io,1,20,8.006,0.1519,0.006125,0.122496,11.0,4622.95,9052.3
io,3,20,7.964,0.2331,0.006153,0.123052,11.0,4673.45,9085.95
io,5,140,8.0517,0.6856,0.007633,1.068639,11.0,4888.95,9924.964285714286
io,10,20,7.986,0.2116,0.006138,0.122763,11.0,4656.8,9066.05
io_refine,1,20,8.09,0.1651,0.007413,0.148251,14.6,6364.35,10763.15
io_refine,3,20,7.99,0.2553,0.007253,0.145069,14.1,6152.0,10551.1
io_refine,5,140,8.2043,0.8432,0.009184,1.285826,14.36,6539.135714285714,11715.35
io_refine,10,20,7.99,0.3972,0.007278,0.145568,14.2,6155.95,10591.7
tot,1,20,8.02,0.3302,0.003154,0.063073,5.0,2470.7,4638.45
tot,3,20,8.07,0.1625,0.005209,0.104175,5.0,4519.5,7551.4
tot,5,140,8.2457,0.7686,0.006786,0.950011,5.0,6503.321428571428,9507.15
tot,10,20,8.12,0.2628,0.009944,0.19887,5.0,11432.65,13714.35
tot_refine,1,20,8.1,0.2,0.004114,0.082271,7.4,3910.4,5878.35
tot_refine,3,20,8.12,0.1765,0.006046,0.120924,7.2,5929.8,8594.55
tot_refine,5,140,8.3586,0.688,0.008027,1.123794,7.39,8039.885714285714,10957.721428571429
tot_refine,10,20,8.15,0.2236,0.010958,0.219159,7.4,12998.5,15013.65
