"idx","puzzle_id","r_letter","r_word","r_game","visited","pruned","terminal"
"0","official_0","0.36","0.1","0.0","7","15","False"
"1","official_1","0.44","0.2","0.0","9","18","False"
"2","official_2","0.08","0.0","0.0","6","13","False"
"3","official_3","0.36","0.1","0.0","3","4","False"
"4","official_4","0.48","0.2","0.0","8","14","False"
"5","official_5","0.44","0.1","0.0","9","10","False"
"6","official_6","0.52","0.3","0.0","8","17","False"
"7","official_7","0.48","0.2","0.0","6","10","False"
"8","official_8","0.52","0.3","0.0","6","10","False"
"9","official_9","0.36","0.2","0.0","5","8","False"
"10","official_10","0.0","0.0","0.0","1","0","False"
"11","official_11","0.52","0.3","0.0","7","12","False"
"12","official_12","0.52","0.3","0.0","7","15","False"
"13","official_13","0.84","0.6","0.0","12","23","False"
"14","official_14","0.24","0.1","0.0","5","8","False"
"15","official_15","0.36","0.2","0.0","5","5","False"
"16","official_16","0.2","0.0","0.0","4","9","False"
"17","official_17","0.0","0.0","0.0","1","0","False"
"18","official_18","0.52","0.3","0.0","6","7","False"
"19","official_19","0.4","0.2","0.0","7","9","False"
